Index,answers
t_11,['好的，这是转录内容：\n\n**Clip 1:**\n呃，好像没有过失眠，就很少吧。失眠的时候就是，呃，那个时候应该是脑子里一直在想事情，就有什么东西堵着梗着，然后不想睡，睡不着也。呃，就我，还行。呃，好像没有刻意的说，是真的睡不着，就是有的时候也只是难过一会，然后会到到某某点，就真的难过的劲过了之后呢，就是会，还是会睡吧，也没有说睡不着，就怎么也睡不着这种情况，应该是没有吧。\n\n**Clip 2:**\n我的家庭构成啊，呃，就是平常生活和爸爸妈妈住在一起，然后，嗯，爷爷奶奶是分开住。外公去世了，然后外婆也是分开住，其他还有一些亲戚，不过这些应该不算是家庭构成吧，就主要还是就我们家就是我一个小孩，然后我的爸爸和我的妈妈三个人住在一起。家庭构成，家庭构成是什么？\n\n**Clip 3:**\n呃，生活中给我带来正面影响的人其实还蛮多的，嗯，举一个例子的话，应该是我的高中数学老师。呃，他的话就是从平常日常里面的一些行为，包括是他一个讲课的一个方式，他讲述的内容也好，就各种方面都会在影响着你，让你，让你感觉他很那种积极向上的一个感觉。虽然他会，也会有那种，有的时候会很那个烦躁，就工作上面啊，教学上面会有一些困难什么的，但是，嗯，确确实实他大部分的时间传达给我的一个感觉是一个很让我想 要努力变得更好这样一个状态。有的时候就看到他很认真的备课，他的备课笔记写得非常清楚，作为一名相当有水平，教学经验也十分充足的高中老师，他其实没有必要去做那样的一个辛苦的事情，但是他确确实实每年每一次，每一天都在认真的准备期末，都在认真的讲，每一道题都写得清清楚楚，我觉得这个认真的态度特别的，让 我希望我自己也能变得更好。'],"['额，好像没有过失眠，就，额，很少吧。失眠的时候就是，额，那个时候应该是脑子里一直在想事情，就，有什么东西堵着，梗着，然后，不想睡，睡不着。也，额，就，不过还行，额，好像没有刻意的说是真的睡不着，就是，有的时候也只是难过一会，然后，会，到，到了某个点真的难过的劲过了，就，还是会睡吧，也没有说睡不着，怎么也睡不着这种情况，额，应该是没有吧', '额，生活中给我带来正面影响的人其实还蛮多的。嗯，举一个例子的话，应该是我的高中数学老师，嗯，他的话，就是，额，从平常日常里的一些行为，包括是他的一个，讲课的一个方式，他讲述的内容也好，就各种方面都会在影响着你，让你感觉他很积极向上的一个感觉，虽然他会，也会有那种，有的时候会很，内个，烦躁，就工作上面啊，教学上面会有一些困难什么的，但是，确确实实他大部分时间传达给我的一个感觉是一个，很，让我想要努力变得更好，这样一个状态。有的时候就看到他很认真的备课，他的备课笔记写的非常清楚，作为一名相当有水平，教学经验也十分充足的高中老师，他其实没有必要去做那样的一个辛苦的事情，但是他确确实实，每年，每一次，每一天都在认真准备题目，都在认真的讲，每一道题都写的清清楚楚，我觉得这个认真的态度特别的让我希望我自己也能变得更好', '我的家庭构成啊，额，就是，平常生活和爸爸妈妈住在一起。然后，嗯，爷爷奶奶是分开住，外公去世了，然后，外婆也是分开住，其他还有一些亲戚，不过这些应该不算是家庭构成吧，主要还是就我们家，我一个小孩，然后我的爸爸，我的妈妈，三个人住在一起，家庭构成，家庭构成是什么']"
t_111,['好的，这是音频文件的文字稿：\n**Clip 1:**\n我最后悔的事情是没有在高三的时候有去愤怒的能力与勇气，当时我没有狠狠地怼怼我的班主任，这这一直让我现在很后悔。 就然后当时高三很多愤怒的时候，我是没有发泄出来的，我一直压抑过来，我之前以为自己过去了，我可能缓一段时间就好了，但他们一直影响到了我现在，就是我最后悔的事情就是嗯，没有在就是没有在当时他们侵犯侵犯我，我权利的时候，然后就爆发，出我的愤怒，没有后悔，就是，而且也很后悔说 当时自己可能把他对他们的压抑给，不是，把对他们的讨厌给压抑下来了，然后假装自己可能对他们还有尊敬，甚至某种情况下，因为是我的班主任，甚至还有一些嗯对我来说，现在看来有点讨好谄媚的成分，虽然不是严重，但就让我感觉非常的难难受，而且 嗯当时父母也没有站在我这边，我都没有表现出，就是我把我的愤怒都压抑出来，没有强有力的去攻击他，这，这让我感觉非常的嗯一难平，一直 折磨我吧，算是。\n\n**Clip 2:**\n我不喜欢小孩子，就我会觉得他们很吵闹，而且他们可能会侵犯我的界限，这会让我感觉很难受。 嗯，而且就是小的时候，就是跟，就是因为家家里人的话，就是总会说大的就要让的，小的，然后我就会很讨厌跟他们在一起，就是我会觉得很烦，很烦。然后跟他们有很多不好的经，很不好的经历，而且我会觉得他们有有的时候就是说小孩子可能就没有能，就是没有成年人那种能够体察到别人情绪的时候，然后就得得那种能力，然后我就我会觉得非常的难受，跟他们在一起，然后可能，而且一般跟小孩子在一起的时候，会有他的成人，就他家长在，这会让我感觉非常的不舒服，我很讨厌别人弄弄弄乱我的东西，但他们总是会去碰我的东西，就会让就是我很不舒服。\n\n**Clip 3:**\n我其实已经不太知道我会不会开心了，就感觉很久，很很长一段时间就我的情绪都不太的好，都，都不太好，然后大部分情况下，它可能很容易悲伤，然后有的时候我可能笑，但是我，我甚至，我现在回想我都不不知道我当时是不是开心的，当时可能没有那么悲伤，但是我也不知道我有没有能够感觉到说开心之类的，可能嗯比如说我说我八百米跑完，然后我觉得那个成绩还可以的时候，我可能会感觉到好一些，但是我，我，我不能确定我是不是开心激动或是兴奋的。'],"['我最后悔的事情是没有在高三的时候，有去愤怒的能力与勇气。当时我没有狠狠地怼，怼我的班主任，这一直让我现在很后悔。就，然后当时高三很多愤怒的时候我是没有发泄出来的，我一直压抑过来。我之前以为自己过去了，缓一段时间就好了，但他们一直影响到了我现在。就是，我最后悔的事情就是，就是没有在当时，他们侵犯我，我权利的时候，我就爆发出我的愤怒，没有。后悔就是，而且也很后悔说，当时自己可能把他，对他们的压抑给，不是，对他们的讨厌给压抑下来了，然后加上自己可能对他们还有尊敬，甚至某种情况下因为是我的班主任，甚至还有一些，嗯，对我来说嗯现在看来有点讨好谄媚的成分。虽然不是很严重，但这让我感觉非常的难受，而且当时父母也没有站在我这边，我都没有表现出，就是我把我的愤怒都压抑出来，没有强有力地去攻击他，这让我感觉非常意难平，嗯，一直折磨我吧算是。', '我，我其实已经不太知道我会不会开心了，就感觉很久，很长一段时间，就我的情绪都不太的好，都都不太好。然后，大部分情况下，它可能很容易悲伤。然后有的时候我可能笑，但是我我甚至我现在回想，我都不知道我当时是不是开心的。当时可能没有那么悲伤，但是我也不知道我有没有能够感觉到说，开心之类的。可能嗯比如说说我八百米跑完，然后我觉得那个成绩还可以的时候，我可能会感觉到好一些，但是我是我不我不能确定我是不是开心激动或是兴奋的。', '我不喜欢小孩子。就，我会觉得他们很吵闹，而且他们可能会侵犯我的界线，这会让我感觉很难受。嗯，而且就是小的时候，就是，跟，就是，因为家里人的话，就是总会说大的就要让着小的，然后我就会很讨厌跟他们在一起。就是我会觉得很，很烦。然后跟他们有很不好的经，很不好的经历。而且我会觉得他们有有的时候就是说小孩子可能就没有，就是没有成年人那种能够体察到别人情绪的时候，然后就的的那种能力。然后我就会觉得，非常的难受，跟他们在一。，然后可能而且一般跟小孩子在一起的时候，会有他的成人。就他的家长他就会让我感觉非常的不舒服。呃，我很讨厌别人弄弄弄乱我的东西。让他们总是会去碰我的东西，就会让就是我很火很不爽。']"
t_12,"['沒有想出特別後悔的事情。 未來希望在公司裡面當一個 員工,在比較,福利待遇比較好的公司裡,因為 比較希望有一份穩定的收入, 還有, 然後也,然後又不是, 但是又希望這份工作不要太過平淡的而無趣,沒有進步空間,因為自己 還是希望人生多一些挑戰,多一些 可以進步的地方。 們是感到開心的時候,就是剛才吃晚飯時,因為在一個以前比較少去的食堂發現了好吃的菜。']","['没有想说特别后悔的事情', '上一次感到开心的时候就是刚才吃晚饭时，因为在一个以前比较少去的食堂，发现了一个好吃的菜', '未来希望在公司里面当一个员工，在比较，福利待遇比较好的公司里。因为，嗯，比较希望有一份稳定的收入，还有，然后也，然后又，不是。但是又希望这份工作，不要太过平淡而无趣而没有进步空间，因为自己还是希望人生多一些挑战，多一些可以进步的地方']"
t_13,['好的，这是音频文件的转录内容：\n\n**Clip 1:**\n上一次认真吵好像还是呃，小组作业里面在最后要上台呈现之前，我们分工上出现问题的时候。那次是因为本来说好是两个人同时一起上去讲，但是有一位同学，在我们上台讲之前的一两天他说我不太想讲了，然后当时就感觉不是很开心，但也不能算争吵就是，可能也是我的原因，我态度比较的强硬，就和平常比起来，还是有一点点类似于争吵，但最后的结果还是我们两个人一起上台，所以结果还是好的。并且我之后冷静下来也是理智的继续沟通下去。\n\n**Clip 2:**\n大学时学的是信息类，呃，因为我从小其实就对机器人啊，这种科技比较感兴趣，所以我当时在选专业的时候处于兴趣而选择了信息类这个专业。\n\n**Clip 3:**\n是我的母亲，因为她一直告诫我要乐观的生活，并且就算你生活当中遇到了挫折，你也要勇敢的面对他们。呃，并且能够积极的去改善，如果实在不行呢，也要有勇气重头再来，然后她也跟我说事情要一件一件的做好，所以我认为她对我的影响很大，并且给我带来了很多正面影响。'],"['上一次与人争吵好像还是，额，小组作业里面，在最后要上台呈现之前，我们分工上出现问题的时候，额，那次是因为，本来说好是两个同学一起上去讲，但是有一位同学，在我们上台讲之前的一两天，他说我不太想讲了，然后，当时就感觉，不是很开心。但也不能算争吵就是，可能也是我的原因，我态度比较的强硬，就和平常比起来还是有一点点类似于争吵，但最后的结果还是我们两个人一起上台，所以，结果还是好的，并且我之后冷静下来也是，额，理智的继续沟通下去', '我的母亲，因为她一直告诫我要乐观的生活，并且，就算你生活当中遇到了挫折你也要勇敢的面对他们，并且能够积极的去改正。如果实在不行呢，也要有勇气从头再来。然后她也跟我说事情要一件一件的做好，所以我认为她对我的影响很大，并且带来了很多正面影响', '学习的是信息类，额，因为我从小其实就对机器人啊，这种科技比较感兴趣，所以我当时在选专业的时候出于兴趣，而选择了信息类这个专业']"
t_14,"['Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 嗯，有關高考志願，本來可以報提前批，但是，嗯，就是沒有去這次機會。\n\n*   **Clip 2:** 刷刷微博，然後思考人生，然後寫寫作業。 玩一些遊戲。\n\n*   **Clip 3:** 晚上吃了北院食堂的一種炒飯，回來的時候還喝了奶茶，所以很開心。']","['有关高考志愿，本来可以报一个提前批，但是，额，就是没有去这次机会', '晚上吃了北苑食堂的一种炒饭，回来的时候还喝了奶茶所以很开心', '刷刷微博，然后思考人生，然后写，写作业，玩一些游戏']"
t_15,"['Sure, here are the transcriptions of each clip:\n\n**Clip 1:**\n我可能沒辦法去比較出一個最後悔的事情,實際上我現在對後悔這個問題不是很敏感。 我只是覺得後悔沒有太大的意義。 就可能有意義的相對來說是反省。 嗯,但後悔我覺得 既然已經發生了,沒必要再去 悔恨他。\n\n**Clip 2:**\n我一個人獨處的時候,往往會在一些比較封閉的空間裡面去思考 最近發生的一些事情,去考慮我 應對的一些方法,去回顧一下,反思一下是否有不滿意的地方,有值得改進的地方。\n\n**Clip 3:**\n我放鬆的時候最喜歡 隨便走一走,散散步。 因為這個時候很多時候是一種旁觀者的身份去觀察身邊的人和事情, 看看別人忙碌的生活,然後我只是一種旁觀者的角度,不需要參與一些事物,不需要處理一些事物,只是觀察。']","['我可能没办法去比较出一个最后悔的事情，实际上我现在对后悔的这个问题不是很敏感，我只是觉得后悔没有太大的意义，可能有意义的相对来说是反省。嗯，但，后悔我觉得既然已经发生了没必要再去悔恨他', '我放松的时候最喜欢，额，随便走一走散散步。因为这个时候很多时候是以一种旁观者的身份去观察身边的人和事情，看看别人忙碌的生活，然后，我只是一种旁观者的角度，不需要参与一些事务，不需要处理一些事务，只是观察', '我一个人独处的时候，往往会在一些比较封闭的空间里面去思考最近发生的一些事情，去考虑我，额，应对的一些方法，会回顾一些，反思一下是否有不满意的地方，有值得改进的地方']"
t_16,"['Okay, here are the transcriptions of the audio clips:\n\n*   **Clip 1:** 在公司裡給模型調餐，一直沒有辦法刷到數據第一，好煩哦。\n\n*   **Clip 2:** 有的時候喜歡，有的時候不喜歡。不喜歡是因為他是熊孩子，老是哭，老是鬧。喜歡是因為小孩子長得實在太可愛了。\n\n*   **Clip 3:** 今天去早上去公司的時候被發了聖誕節的糖果，很開心。']","['在公司里给模型调参，一直没有办法刷到数据第一，好烦哦', '今天去，早上去公司的时候被发了圣诞节的糖果很开心', '有的时候喜欢，有的时候不喜欢。不喜欢是因为他是熊孩子，老是哭老是闹。喜欢是因为小孩子长得实在是太可爱了']"
t_18,"['好的，这是音频文件的文字稿。\n\n**Clip 1:**\n大概是考试周结束之后回家路上。然后感觉这学期自己的事情做得不太好。然后没有找到一些有趣的事情,大概这样吧。\n\n**Clip 2:**\n具体的职业可能不太确定，但是我希望做一点创造性的工作。然后应该能带着一点自己的思考。然后减少一点重复性的工作。\n\n**Clip 3:**\n放松的时候最喜欢看看简单的剧或者电影，或者其他东西，玩玩简单的游戏。因为它们比较放松。嗯，不需要个人思考吧。基本上是跟着作者的思路往下走就可以了。而且停下来很快。']","['大概是，考试周结束之后回家路上，让我感觉这学期自己的事情，做的不太好，然后，没有找到一些有趣的事情，大概这样吧', '放松的时候最喜欢看一看简单的剧或者电影，或者其他东西，玩一玩简单的游戏，因为他们比较放松，嗯，不需要个人思考吧，基本上跟着作者的思路往下走就可以了，而且停下来很快', '具体的职业可能不太确定，但是我希望能做一点创造性地工作，应该能带一点自己的思考减少一点重复性的工作']"
t_2,"[""Okay, here's the transcription of the three audio clips:\n\n**Clip 1:**\n我小学就应该开始学英语的。\n\n**Clip 2:**\n希望从事按时上下班的工作。 为什么？ 为什么呀？ 为什么呀？ 为什么？ 为什么？ 为什么？为了作息规律一点吧。\n\n**Clip 3:**\n走廊那一头的书是红色的, 那一头的书是绿色的.""]","['我小学就应该开始学英语的', '走廊那一头的树是红色的，那一头的树是绿色的', '希望从事按时上下班的工作，为什么，为什么呀，为什么呀，为什么，为什么，为什么，为了作息规律一点吧']"
t_20,"['Clip 1: 他高一成年年末考試周的時候， 嗯 做項目的時候觀點不合。\nClip 2: 發呆吧。 一個人盯著電腦發呆。\nClip 3: 嗯班主任, 然後樂觀的看待生活。']","['大概一九年年末考试周的时候，做项目的时候观点不合', '额，班主任，乐观的看待生活', '发呆吧，一个人盯着电脑发呆']"
t_21,['好的，以下是音檔的逐字稿：  Clip 1: 啊，最近一次不開心，應該就是在考完計算機網路這門課之後。 因為就感覺考得比較差。然後期末因為 一些一些課程的項設置沒有完成，然後就導致最後 複習的時間不夠用。然後平常的時候聽聽講又沒有做到比較認真的聽講，就 所以說最後考出的結果就不好。   Clip 2: 嗯，未來希望從事跟我專業有關的工作吧，就編程這一類的。 然後因為是 本工作，本專業的工作的話，可以把我學到的東西然後用到工作中，然後 工作中遇到困難，應該相對的也會少一點。   Clip 3: 放鬆的時候最喜歡做的就是一邊聽著音樂，一邊 刷貼吧或者是看一些新聞。 因為感覺這樣可以了解一些比較有趣的事情，然後也能比較好的緩解自己的 情緒。'],"['最近一次不开心，应该就是在考完计算机网络这门课的时候吧，因为就感觉考的比较差。然后，期末因为一些，一些课程的项目，设计没有完成，然后就导致，额，最后的复习的时间不够用，然后平常的时候，听讲也没有做到比较认真的听讲，就，所以最后的考试的结果就', '放松的时候最喜欢做的就是，一边听着音乐，一边刷贴吧或者是看一些新闻，因为这样可以了解一些比较有趣的事情，也能比较好的缓解自己的情绪', '嗯，未来希望从事跟我专业有关的工作，就编程这类的。因为是，本工作，本专业的工作可以把我学到的东西，然后，用到工作中，然后，工作中遇到的困难，应该相对的也会少一点']"
t_22,"['Okay, here\'s the transcription of the three audio clips:\n\n**Clip 1:**\n""再一次争吵是跟父母之间。因为他们想要我在假期的过程中有一个合理的自己的学习规划。呃，然后就强迫我要去学。""\n\n**Clip 2:**\n""我喜欢小孩子，因为他们非常天真无邪，嗯，非常的可爱。""\n\n**Clip 3:**\n""在图形学答辩的过程中获得了非常好的效果。开心是因为一个学期终于结束，最后一次答辩取得非常好的效果。""']","['上一次争吵是跟父母之间，因为他们，想让我在假期过程中有一个合理的自己的学习规划，然后就强迫我要去学习', '在图形学的答辩的过程中获得了非常好的效果，开心是因为一学期终于结束，最后一次答辩取得了非常好的效果', '我喜欢小孩子，因为他们非常的天真无邪，嗯，非常的可爱']"
t_26,"['Okay, here are the transcriptions of the three audio clips:\n\n**Clip 1:**\n我应该是， 嗯，爷爷过世的时候，没有及时赶回去吧。\n\n**Clip 2:**\n嗯，爸爸妈妈姐姐，然后还有奶奶。\n\n**Clip 3:**\n最好的朋友大概就是，能够在难过的时候陪伴自己吧。']","['额，应该是，嗯，爷爷过世的时候没有及时赶回去吧', '最好的朋友大概就是，能在难过的时候陪伴自己吧', '额，爸爸妈妈姐姐然后还有奶奶']"
t_27,"[""Okay, here's the transcription of the three clips you provided:\n\n**Clip 1:**\n\n应该是在去年的5月份。当时是和我的室友在半夜的时候有一点小的争吵，因为当时已经是凌晨3点多了，我的室友在看F1的比赛，但是他就是没有，可能当时看的也是太，太过激动了，没有顾忌到我在睡觉，所以就是喊的声音比较大，把我直接吵醒了，所以我当时就非常生气，和他当时有一些小的争执。\n\n**Clip 2:**\n\n家里一共有三个人，我和我的父母。\n\n**Clip 3:**\n\n打篮球，因为既可以缓解精神压力，又可以锻炼身体。""]","['应该是在去年的五月份，当时是和我的室友，在半夜的时候有一点小的争吵。因为当时已经是凌晨三点多了，我的室友在看F1的比赛，但是他，就是没有，可能当时看的也是太，太过激动了，没有顾及到我在睡觉，所以，就是，喊得声音比较大，把我直接吵醒了，所以我当时就非常生气，和他当时，有一些小的争执', '打篮球，因为既可以缓解精神压力又可以锻炼身体', '家里一共三个人，我和我的父母']"
t_28,"['Okay, here are the transcriptions of the three audio clips:\n\n*   **Clip 1:** 多少失眠,偶爾失眠的時候也沒有什麼感覺,只是比較驚訝,過了很久發現我還是\n*   **Clip 2:** 希望從事比較有創造性的工作,能夠給生活\n*   **Clip 3:** 應該是朋友吧,就在我遇到困難的時候給了我']","['很少失眠，偶尔失眠的时候也没有什么感觉，只是比较惊讶，过了很久发现我还醒着', '应该是朋友吧，就，在我遇到困难的时候给了我很多帮助和指引', '我希望从事比较有创造性地工作，能够给生活带来一些改善，然后，给人们带来一些方便']"
